"Hillnumber","Arearef","Alt_Area"
"4574","M01A","0"
"4575","M01A","0"
"4576","M01A","0"
"4577","M01A","0"
"4578","M01A","0"
"4579","M26B","0"
"4580","M01C","0"
"4581","M01C","0"
"4582","M01C","0"
"4583","M01C","0"
"4584","M01C","0"
"4585","M01D","0"
"4586","M01D","0"
"4587","M01E","0"
"4588","M01E","0"
"4589","M01E","0"
"4590","M02A","0"
"4591","M03B","0"
"4592","M03B","0"
"4593","M03B","0"
"4594","M04B","0"
"4595","M04B","0"
"4596","M04B","0"
"4597","M05A","0"
"4598","M05A","0"
"4599","M05B","0"
"4600","M05A","0"
"4601","M06B","0"
"4602","M06B","0"
"4603","M06B","0"
"4604","M07A","0"
"4605","M07A","0"
"4606","M07A","0"
"4607","M07A","0"
"4608","M07A","0"
"26","A61","0"
"26","U179","0"
"32","C94","0"
"71","C75","0"
"141","A68","0"
"141","C88","0"
"141","U173","0"
"191","C67","0"
"182","M03A","0"
"183","M03A","0"
"184","M03A","0"
"185","M03A","0"
"186","M03A","0"
"187","M03A","0"
"188","M03A","0"
"189","M03A","0"
"190","M03A","0"
"191","M03B","0"
"192","M03B","0"
"193","M03B","0"
"194","M03B","0"
"195","M03B","0"
"196","M03B","0"
"197","M03B","0"
"198","M03B","0"
"199","M03B","0"
"200","M03B","0"
"201","M03B","0"
"202","M03B","0"
"203","M03B","0"
"204","M03B","0"
"205","M03B","0"
"206","M03B","0"
"207","M03B","0"
"208","M03B","0"
"209","M03B","0"
"210","M03B","0"
"211","M03B","0"
"212","M03B","0"
"213","M03B","0"
"214","M03B","0"
"215","M03B","0"
"216","M03B","0"
"217","M03B","0"
"218","M03B","0"
"219","M03B","0"
"220","M03B","0"
"221","M03B","0"
"222","M03B","0"
"223","M03B","0"
"224","M03B","0"
"225","M03B","0"
"226","M03B","0"
"227","M03B","0"
"1","M01A","0"
"2","M01A","0"
"3","M01A","0"
"4","M01A","0"
"5","M01A","0"
"6","M01A","0"
"7","M01A","0"
"8","M01A","0"
"9","M01A","0"
"10","M01A","0"
"11","M01A","0"
"12","M01A","0"
"13","M01A","0"
"14","M01A","0"
"15","M01A","0"
"232","A67","0"
"232","U153","0"
"278","A65","0"
"278","C78","0"
"278","U165","0"
"16","M01A","0"
"17","M01B","0"
"18","M01B","0"
"19","M01B","0"
"20","M01B","0"
"21","M01B","0"
"22","M01B","0"
"23","M01B","0"
"26","M01C","0"
"27","M01C","0"
"28","M01C","0"
"29","M01C","0"
"30","M01C","0"
"31","M01C","0"
"32","M01C","0"
"33","M01C","0"
"34","M01C","0"
"35","M01C","0"
"36","M01C","0"
"37","M01C","0"
"38","M01C","0"
"39","M01C","0"
